
clarinet,67,128,116
string ensemble 1,67,128,116
string ensemble 1,67,128,116
string ensemble 1,55,128,116
string ensemble 1,43,128,116
string ensemble 1,43,128,116
clarinet,67,256,116
string ensemble 1,67,256,116
string ensemble 1,67,256,116
string ensemble 1,55,256,116
string ensemble 1,43,256,116
string ensemble 1,43,256,116
clarinet,67,384,116
string ensemble 1,67,384,116
string ensemble 1,67,384,116
string ensemble 1,55,384,116
string ensemble 1,43,384,116
string ensemble 1,43,384,116
clarinet,63,512,768
string ensemble 1,63,512,768
string ensemble 1,63,512,768
string ensemble 1,51,512,768
string ensemble 1,39,512,768
string ensemble 1,39,512,768
clarinet,65,1408,116
string ensemble 1,65,1408,116
string ensemble 1,65,1408,116
string ensemble 1,53,1408,116
string ensemble 1,41,1408,116
string ensemble 1,41,1408,116
clarinet,65,1536,116
string ensemble 1,65,1536,116
string ensemble 1,65,1536,116
string ensemble 1,53,1536,116
string ensemble 1,41,1536,116
string ensemble 1,41,1536,116
clarinet,65,1664,116
string ensemble 1,65,1664,116
string ensemble 1,65,1664,116
string ensemble 1,53,1664,116
string ensemble 1,41,1664,116
string ensemble 1,41,1664,116
clarinet,62,1792,1280
string ensemble 1,62,1792,1280
string ensemble 1,62,1792,1280
string ensemble 1,50,1792,1280
string ensemble 1,38,1792,1280
string ensemble 1,38,1792,1280
